Song,Artist,First_Week
Deja Vu,Dreamcatcher,2020-06-19
Titanium (feat. Sia),David Guetta,2020-06-19
La La,The Cab,2020-06-19
dal segno,이달의 소녀 yyxy,2020-06-19
Get It,PRISTIN V,2020-06-19
Boomerang,The Summer Set,2020-06-19
If I Had You,Adam Lambert,2020-06-19
Feel This Moment (feat. Christina Aguilera),Pitbull,2020-06-19
꿈꾸는 마음으로 (Dreams Come True),WJSN (Cosmic Girls),2020-06-26
Carousel,Melanie Martinez,2020-06-26
이루리 (As You Wish),WJSN (Cosmic Girls),2020-06-26
Hit That Drum,Red Velvet,2020-06-26
Milk and Cookies,Melanie Martinez,2020-06-26
Swimming Pool,Red Velvet,2020-06-26
STOP,Stray Kids (스트레이 키즈),2020-07-03
밟힌 적 없는 길,Stray Kids (스트레이 키즈),2020-07-03
Into The New World,소녀시대,2020-07-03
Egotistic,MAMAMOO,2020-07-03
Really Don't Care (feat. Cher Lloyd),Demi Lovato,2020-07-03
Attaboy,Red Velvet,2020-07-03
Touch It,Ariana Grande,2020-07-10
Bad Liar,Selena Gomez,2020-07-10
no tears left to cry,Ariana Grande,2020-07-10
the light is coming (feat. Nicki Minaj),Ariana Grande,2020-07-10
Butterflies,Red Velvet,2020-07-10
Left & Right,Seventeen,2020-07-10
I'm bisexual,dodie,2020-07-10
Drama Club,Melanie Martinez,2020-07-10
Don`t Know What To Do,BLACKPINK,2020-07-10
Oh! my mistake,April,2020-07-10
?chame La Culpa,Luis Fonsi & Demi Lovato,2020-07-10
BOYS LIKE YOU,dodie,2020-07-10
땡땡땡 (Ding Ding Dong),이달의 소녀 (Loona),2020-07-10
The Reason Why,TWICE,2020-07-10
Bounce Back,Little Mix,2020-07-10
Pacify Her,Melanie Martinez,2020-07-10
두 손을 모아 (AVE MARIA),여자친구 (GFriend),2020-07-10
교차로 (Crossroads),GFRIEND,2020-07-17
Punch,NCT 127,2020-07-17
Highway To Heaven,NCT 127,2020-07-17
영웅 (英雄; Kick It),NCT 127,2020-07-17
Cherry Bomb,NCT 127,2020-07-17
Superhuman,NCT 127,2020-07-17
Fire Truck,NCT 127,2020-07-17
Simon Says,NCT 127,2020-07-17
TOUCH,NCT 127,2020-07-17
9와 4분의 3 승강장에서 너를 기다려 (Run Away),TXT,2020-07-17
세계가 불타버린 밤 우린... (Can't You See Me?),TXT,2020-07-17
We Go Up,NCT DREAM,2020-07-17
神메뉴 (God's Menu),Stray Kids,2020-07-17
my tears ricochet,Taylor Swift,2020-07-24
the last great american dynasty,Taylor Swift,2020-07-24
illicit affairs,Taylor Swift,2020-07-24
this is me trying,Taylor Swift,2020-07-24
august,Taylor Swift,2020-07-24
seven,Taylor Swift,2020-07-24
mirrorball,Taylor Swift,2020-07-24
exile (feat. Bon Iver),Taylor Swift,2020-07-24
cardigan,Taylor Swift,2020-07-24
exile,Taylor Swift Bon Iver,2020-07-24
Cruel Summer,Taylor Swift,2020-07-24
I Forgot That You Existed,Taylor Swift,2020-07-24
hoax,Taylor Swift,2020-07-24
peace,Taylor Swift,2020-07-24
betty,Taylor Swift,2020-07-24
epiphany,Taylor Swift,2020-07-24
mad woman,Taylor Swift,2020-07-24
invisible string,Taylor Swift,2020-07-24
the 1,Taylor Swift,2020-07-24
Catch Me If You Can,Girls' Generation,2020-07-24
환상동화 (Secret Story of the Swan),IZ*ONE,2020-07-24
소년 (Boy),더보이즈(THE BOYZ),2020-07-24
유리구두,fromis_9,2020-07-24
Uncover (Sung by SEULGI) (Bonus Track),Red Velvet - IRENE & SEULGI,2020-07-31
Highway to Heaven - English Version,NCT 127,2020-08-07
Right There,Ariana Grande,2020-08-07
Oh My!,Seventeen,2020-08-07
Uma Thurman,Fall Out Boy,2020-08-07
dal segno,LOONA/yyxy,2020-08-07
Dear Future Husband,Meghan Trainor,2020-08-07
Rookie,Red Velvet,2020-08-07
Feels (feat. Pharrell Williams Katy Perry & Big Sean),Calvin Harris,2020-08-07
BUNGEE (Fall In Love),OH MY GIRL,2020-08-07
Locked Away (feat. Adam Levine),Rock City,2020-08-07
Fever,GFRIEND,2020-08-07
365,Zedd,2020-08-07
District 9,Stray Kids,2020-08-07
Liar Liar (Korean Version),OH MY GIRL,2020-08-07
Look,GOT7,2020-08-07
The Man,Taylor Swift,2020-08-07
London Boy,Taylor Swift,2020-08-07
Very Very Very,I.O.I,2020-08-07
Castle on the Hill,Ed Sheeran,2020-08-07
Stylish,Loona,2020-08-07
Best Song Ever,One Direction,2020-08-07
Love Myself,Hailee Steinfeld,2020-08-07
Hey Soul Sister,Train,2020-08-07
Secret Story of the Swan,IZ*ONE,2020-08-14
KILL THIS LOVE - JP Ver.,BLACKPINK,2020-08-14
Wake Me Up,Avicii,2020-08-14
Jopping,SuperM,2020-08-21
Can I Go With You?,Taylor Swift,2020-08-21
Love Me or Leave Me,Little Mix,2020-08-21
I Used to Fly,Taylor Swift,2020-08-21
Better Off,Taylor Swift,2020-08-21
Truth Hurts,Lizzo,2020-08-21
LUV ME,TWICE,2020-08-21
일상 (Another Day),Stray Kids,2020-08-21
Crazier (Demo),Taylor Swift,2020-08-21
Recess,Melanie Martinez,2020-08-21
LOVE FOOLISH,TWICE,2020-08-21
Remember Forever,Red Velvet,2020-08-21
Snap Shoot,Seventeen,2020-08-21
Blue Jeans,Lana Del Rey,2020-08-21
Mojito,Red Velvet,2020-08-21
넌 is 뭔들 (You`re the Best),MAMAMOO,2020-08-21
This Is Me,Keala Settle & The Greatest Showman Ensemble,2020-08-21
You're the One That I Want,John Travolta & Olivia Newton-John,2020-08-21
놀이 (Naughty),레드벨벳-아이린 & 슬기,2020-08-21
Just South of Knowing Why,Taylor Swift,2020-08-21
Carpool,Red Velvet,2020-08-21
TOP (Tower of God OP),Stray Kids,2020-08-21
We Young,NCT DREAM,2020-08-21
Mr. Potter,DIA,2020-08-21
I'd Lie,Taylor Swift,2020-08-21
Monster,Red Velvet - IRENE & SEULGI,2020-08-28
Gone Days,Stray Kids,2020-08-28
One Of These Nights (Piano Version),Red Velvet,2020-09-11
Naturally,Selena Gomez & the Scene,2020-09-11
Genie,Girls' Generation,2020-09-11
Chewing Gum (Korean Ver.),NCT DREAM,2020-09-11
A Million Dreams,Ziv Zaifman Hugh Jackman & Michelle Williams,2020-09-11
better off,Ariana Grande,2020-09-11
HIGHLIGHT,Seventeen,2020-09-11
Magnolia,Too,2020-09-11
Light Me Up,Red Velvet,2020-09-11
HOT SUMMER NIGHTS,OH MY GIRL,2020-09-11
Jumpin’,Red Velvet,2020-09-11
pete davidson,Ariana Grande,2020-09-11
Dance Again (feat. Pitbull),Jennifer Lopez,2020-09-11
Anaconda,Nicki Minaj,2020-09-11
Weird People,Little Mix,2020-09-11
I’m Your Boy,THE BOYZ,2020-09-11
I'm Every Woman,Taylor Swift,2020-09-11
La Rouge,Red Velvet,2020-09-11
Neon Lights,Demi Lovato,2020-09-11
Labyrinth,GFRIEND,2020-09-11
Honey Baby,Taylor Swift,2020-09-11
Baby Don`t Stop,NCT U,2020-09-11
Without You,NCT U,2020-09-11
You Can STAY,Stray Kids (스트레이 키즈),2020-09-11
Training Wheels,Melanie Martinez,2020-09-11
RBB (Really Bad Boy) (Eng Ver.),Red Velvet,2020-09-18
Lion Heart,소녀시대,2020-09-18
Would You Be So Kind,dodie,2020-09-18
I Know What I Want,Taylor Swift,2020-09-18
Sorry Not Sorry,Demi Lovato,2020-09-18
Stay With Me Babe (Bonus Track),LOOΠΔ,2020-09-18
Fire,2NE1,2020-09-18
you,dodie,2020-09-18
SLUMP (Tower of God ED),Stray Kids,2020-09-18
Sixteen,OH MY GIRL,2020-09-18
The Principal,Melanie Martinez,2020-09-18
Spring,MCND,2020-09-18
Welcome,IZ*ONE,2020-09-18
Back Door,Stray Kids (스트레이 키즈),2020-09-18
Intro,GFRIEND,2020-09-18
I Just,Red Velvet,2020-09-25
Ridin',NCT DREAM,2020-09-25
Taste,Red Velvet,2020-09-25
Oh My God,(G)I-DLE,2020-09-25
We Go (방찬 & 창빈 & 한),Stray Kids (스트레이 키즈),2020-09-25
All Right,Red Velvet,2020-09-25
Décalcomanie (데칼코마니),MAMAMOO,2020-09-25
Day 1,Red Velvet,2020-09-25
successful,Ariana Grande,2020-09-25
Young and Beautiful,Lana Del Rey,2020-09-25
Eyes Locked Hands Locked,Red Velvet,2020-09-25
Swish Swish,Katy Perry,2020-09-25
STAY BY MY SIDE,TWICE,2020-09-25
About Love,Red Velvet,2020-09-25
Q&A,SEVENTEEN & Ailee,2020-09-25
GO,NCT DREAM,2020-09-25
Top Gang,MCND,2020-09-25
Lose You to Love Me,Selena Gomez,2020-09-25
Greased Lightnin',John Travolta,2020-09-25
덤디덤디 (DUMDi DUMDi),(여자)아이들,2020-09-25
청사진 (Blueprint),Stray Kids,2020-09-25
Kingdom Come,Red Velvet,2020-09-25
Freak,Little Mix,2020-09-25
To Heart,fromis_9,2020-09-25
If I'm Being Honest,dodie,2020-09-25
All Too Well,Taylor Swift,2020-10-02
Death by a Thousand Cuts,Taylor Swift,2020-10-02
How You Like That,BLACKPINK,2020-10-02
POLISH,TWICE,2020-10-02
Be OK,TWICE,2020-10-02
What You Waiting For,TWICE,2020-10-02
Stronger,TWICE,2020-10-02
Fake & True,TWICE,2020-10-02
21:29,TWICE,2020-10-02
TRICK IT,TWICE,2020-10-02
Feel Special,TWICE,2020-10-02
HAPPY HAPPY,TWICE,2020-10-02
Breakthrough,TWICE,2020-10-02
STRAWBERRY,TWICE (트와이스),2020-10-02
TURN IT UP,TWICE (트와이스),2020-10-02
HOT,TWICE (트와이스),2020-10-02
GIRLS LIKE US,TWICE (트와이스),2020-10-02
STUCK IN MY HEAD,TWICE (트와이스),2020-10-02
FANCY,TWICE (트와이스),2020-10-02
올해 제일 잘한 일,TWICE (트와이스),2020-10-02
AFTER MOON,TWICE (트와이스),2020-10-02
BE AS ONE,TWICE,2020-10-02
SAY IT AGAIN,TWICE,2020-10-02
WISHING,TWICE,2020-10-02
L.O.V.E,TWICE,2020-10-02
Day & Night (Hidden track),Loona,2020-10-09
Oh (Yes I Am),이달의 소녀 (Loona),2020-10-09
Number 1,이달의 소녀 (Loona),2020-10-09
#,이달의 소녀 (Loona),2020-10-09
365,LOONA (이달의 소녀),2020-10-09
Where you at,이달의 소녀 (Loona),2020-10-09
색깔(Colors),이달의 소녀 (Loona),2020-10-09
Curiosity,이달의 소녀 (Loona),2020-10-09
위성(Satellite),이달의 소녀 (Loona),2020-10-09
Butterfly,이달의 소녀 (Loona),2020-10-09
X X,이달의 소녀 (Loona),2020-10-09
Stylish,LOOΠΔ,2020-10-09
Perfect Love,LOOΠΔ,2020-10-09
열기,LOOΠΔ,2020-10-09
Hi High,LOOΠΔ,2020-10-09
frozen,LOOΠΔ / yyxy,2020-10-09
love4eva (Feat. Grimes),이달의 소녀 yyxy (LOONA/yyxy),2020-10-09
dal segno,이달의 소녀 yyxy (LOONA/yyxy),2020-10-09
Rosy (Go Won & Olivia Hye) [feat. HeeJin],LOOΠΔ,2020-10-09
Egoist (Olivia Hye) [feat. JinSoul],LOOΠΔ,2020-10-09
See Saw (Chuu Go Won) [feat. Kim Lip],LOOΠΔ,2020-10-09
One & Only (고원),이달의 소녀 (Loona),2020-10-09
Girl's Talk (Yves Chuu),LOOΠΔ,2020-10-09
Heart Attack (Chuu),LOOΠΔ,2020-10-09
The Carol 2.0 (Vivi Choerry Yves),LOOΠΔ,2020-10-09
엔시티 유,NCT,2020-10-16
Electric Shock,f(x),2020-10-16
Flower (Korean Version),GFRIEND,2020-10-16
Butterfly,LOOΠΔ,2020-10-16
BAAM,MOMOLAND,2020-10-16
BLACK DRESS,CLC,2020-10-16
사랑은 또다시 Love Again,NCT DREAM,2020-10-16
HIT,세븐틴 Seventeen,2020-10-16
Turn Back Time 超时空 回,WayV,2020-10-16
LIT,ONEUS,2020-10-16
WEE WOO,PRISTIN,2020-10-16
Hotter Than Hell,Dua Lipa,2020-10-16
Victory Song,Stray Kids,2020-10-16
Same Old Love,Selena Gomez,2020-10-16
Make A Wish (Birthday Song) (English Version),NCT U,2020-10-16
From Home (Korean Version),NCT U,2020-10-16
From Home,NCT U,2020-10-16
Faded in My Last Song,NCT U,2020-10-16
Music Dance,NCT 127,2020-10-16
Nectar,NCT,2020-10-16
Déjà Vu,NCT DREAM,2020-10-16
Interlude: Past to Present,NCT U,2020-10-16
Dancing In The Rain,NCT U,2020-10-16
Light Bulb,NCT U,2020-10-16
Volcano,NCT U,2020-10-16
BOOMBOOM,Seventeen,2020-10-23
Sweet Chaos,DAY6,2020-10-23
Into You (3LAU Remix),Ariana Grande,2020-10-23
서곡 Prelude 序曲,NCT 127,2020-10-23
Don’t Need Your Love,NCT DREAM & HRVY,2020-10-23
놀이 Naughty,Red Velvet - IRENE & SEULGI,2020-10-23
몰랐니 Lil’ Touch,Girls' Generation-Oh!GG,2020-10-23
마지막 첫사랑 My First and Last,NCT DREAM,2020-10-23
Apple,여자친구 (GFriend),2020-10-23
Lotto,EXO,2020-10-23
Blue Flame,Astro,2020-10-23
BOCA,드림캐쳐 DREAMCATCHER,2020-10-23
Black on Black,NCT,2020-10-23
Love Letter,이달의 소녀,2020-10-23
Misfit,NCT U,2020-10-23
Pretty Savage,BLACKPINK,2020-10-23
NCT DREAM - 'Déjà Vu' Lyrics [Color Coded_Han_Rom_Eng],Zaty Farhani,2020-10-23
無限的我 무한적아; LIMITLESS,NCT 127,2020-10-23
LA DI DA,Everglow,2020-10-23
Girls,Nature,2020-10-23
God’s Menu,Stray Kids,2020-10-23
BOSS,NCT U,2020-10-23
INCEPTION,ATEEZ,2020-10-23
Can't You See Me?,TOMORROW X TOGETHER,2020-10-23
중독 Overdose,EXO-K,2020-10-23
BEHIND THE MASK,TWICE (트와이스),2020-10-30
무대로 (Deja Vu; 舞代路),NCT DREAM,2020-11-13
New Year’s Day,Taylor Swift,2020-11-13
This Is Why We Can’t Have Nice Things,Taylor Swift,2020-11-13
Dress,Taylor Swift,2020-11-13
Dancing With Our Hands Tied,Taylor Swift,2020-11-13
King of My Heart,Taylor Swift,2020-11-13
Gorgeous,Taylor Swift,2020-11-13
Delicate,Taylor Swift,2020-11-13
Don’t Blame Me,Taylor Swift,2020-11-13
I Did Something Bad,Taylor Swift,2020-11-13
End Game (feat. Ed Sheeran & Future),Taylor Swift,2020-11-13
...Ready for It?,Taylor Swift,2020-11-13
月之迷 (Nectar),WayV,2020-11-13
Make A Wish (Birthday Song),NCT U,2020-11-13
Psycho ft. Nicki Minaj (Reloaded),Red Velvet,2020-11-13
Star (목소리 English Ver.),이달의 소녀,2020-11-13
OOPS!,이달의 소녀,2020-11-13
목소리 (Voice),이달의 소녀,2020-11-13
Why Not?,이달의 소녀,2020-11-13
12:00,이달의 소녀,2020-11-13
SAY SOMETHING,TWICE (트와이스),2020-11-13
DEPEND ON YOU,TWICE (트와이스),2020-11-13
HANDLE IT,TWICE (트와이스),2020-11-13
SHOT CLOCK,TWICE (트와이스),2020-11-13
GO HARD,TWICE (트와이스),2020-11-13
BOCA,드림캐쳐,2020-11-27
motive (feat. Doja Cat),Ariana Grande,2020-11-27
Falling in Love,2NE1,2020-11-27
Vampire,IZ*ONE,2020-11-27
My My,Seventeen,2020-11-27
Ice Cream (with Selena Gomez),BLACKPINK,2020-11-27
Ladies Night,Red Velvet,2020-11-27
기억해 (Fall Again),이달의 소녀,2020-11-27
텐데... (Timeless),NCT U,2020-11-27
Mine,Taylor Swift,2020-11-27
God is a woman,Ariana Grande,2020-11-27
HELL IN HEAVEN,TWICE (트와이스),2020-11-27
La La Love,WJSN (Cosmic Girls),2020-11-27
The Story of Us,Taylor Swift,2020-11-27
우와 (Woowa),DIA,2020-11-27
Some Love,Red Velvet,2020-11-27
So Good,Red Velvet,2020-11-27
SING FOR YOU,EXO,2020-11-27
Moonlight Melody,Red Velvet,2020-11-27
Fanfare,TWICE,2020-11-27
Lover,Taylor Swift,2020-11-27
아니 (Any),Stray Kids (스트레이 키즈),2020-11-27
Crazy Over You,BLACKPINK,2020-11-27
Home,Seventeen,2020-11-27
The Best Thing I Ever Did (Japanese Version),TWICE,2020-11-27
LP,Red Velvet,2020-12-04
borderline (feat. Missy Elliott),Ariana Grande,2020-12-04
BOOM,NCT DREAM,2020-12-04
Chain,NCT 127,2020-12-04
Bubble Pop!,HyunA,2020-12-04
Body Talk,Red Velvet,2020-12-04
Changing!,TWICE,2020-12-04
Show & Tell,Melanie Martinez,2020-12-04
LION,(G)I-DLE,2020-12-04
breathin,Ariana Grande,2020-12-04
나로 말할 것 같으면 (Yes I Am),MAMAMOO,2020-12-04
Universe,이달의 소녀,2020-12-04
LOTTO (Korean Ver.),Exo,2020-12-04
Bet You Wanna (feat. Cardi B),BLACKPINK,2020-12-04
Oh Boy,Red Velvet,2020-12-04
Sippy Cup,Melanie Martinez,2020-12-04
HOME;RUN,세븐틴 (Seventeen),2020-12-04
MAGO,여자친구 (GFriend),2020-12-04
ALL IN,Stray Kids,2020-12-04
Jelly,Red Velvet - IRENE & SEULGI,2020-12-04
marjorie,Taylor Swift,2020-12-11
tolerate it,Taylor Swift,2020-12-11
cowboy like me,Taylor Swift,2020-12-11
ivy,Taylor Swift,2020-12-11
coney island (feat. The National),Taylor Swift,2020-12-11
willow,Taylor Swift,2020-12-11
gold rush,Taylor Swift,2020-12-11
no body no crime (feat. HAIM),Taylor Swift,2020-12-11
gogobebe,MAMAMOO,2020-12-11
Levitating (feat. DaBaby),Dua Lipa,2020-12-11
evermore (feat. Bon Iver),Taylor Swift,2020-12-11
closure,Taylor Swift,2020-12-11
long story short,Taylor Swift,2020-12-11
dorothea,Taylor Swift,2020-12-11
happiness,Taylor Swift,2020-12-11
‘tis the damn season,Taylor Swift,2020-12-11
champagne problems,Taylor Swift,2020-12-11
New Rules,Dua Lipa,2020-12-11
SOLO,JENNIE (from BLACKPINK),2020-12-11
Butterfly,WJSN (Cosmic Girls),2020-12-11
CRY FOR ME,TWICE,2020-12-11
