Week,Song Name,Album Name,Artist Name,Streams,Sales,Airplay
2025-01-03,Jesus of Suburbia,American Idiot,Green Day,2,2,1
2025-01-03,Motivation,All Killer No Filler,Sum 41,2,2,1
2025-01-03,She's So Mean,North (Deluxe Edition),Matchbox Twenty,5,3,3
2025-01-03,Dirty Little Secret,Move Along,The All-American Rejects,4,2,3
2025-01-03,Fresh Out the Slammer,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,11,3,5
2025-01-03,See the Light,21st Century Breakdown,Green Day,1,1,1
2025-01-03,Know Your Enemy,21st Century Breakdown,Green Day,2,2,1
2025-01-03,Peacemaker,21st Century Breakdown,Green Day,1,1,1
2025-01-03,This Is How I Disappear,The Black Parade,My Chemical Romance,2,2,1
2025-01-03,Oh Love,¡Uno!,Green Day,2,2,1
2025-01-03,Graffitia,Father of All...,Green Day,2,2,1
2025-01-03,Unwell,More Than You Think You Are,Matchbox Twenty,3,3,1
2025-01-03,Girlfriend,The Best Damn Thing (Expanded Edition),Avril Lavigne,2,2,1
2025-01-03,House of Wolves,The Black Parade,My Chemical Romance,2,2,1
2025-01-03,Losing Grip,Let Go,Avril Lavigne,2,2,1
2025-01-03,Roller Coaster,Take Off Your Pants and Jacket,blink-182,4,4,1
2025-01-03,Song of the Century,21st Century Breakdown,Green Day,2,2,1
2025-01-03,Longview,Dookie,Green Day,1,1,1
2025-01-03,The American Dream Is Killing Me,Saviors,Green Day,3,3,1
2025-01-03,Last of the American Girls,21st Century Breakdown,Green Day,2,2,1
2025-01-03,You Found Me,Breakaway,Kelly Clarkson,2,2,1
2025-01-03,Hold On,Warning,Green Day,2,2,1
2025-01-03,Can't Stop,By the Way (Deluxe Edition),Red Hot Chili Peppers,1,1,1
2025-01-03,Last Night on Earth,21st Century Breakdown,Green Day,2,2,1
2025-01-03,She's a Rebel,American Idiot,Green Day,2,2,1
2025-01-03,Save Yourself I'll Hold Them Back,Danger Days: The True Lives of the Fabulous Killjoys,My Chemical Romance,2,2,1
2025-01-03,Mutt,Enema of the State,blink-182,2,2,1
2025-01-03,Fashion Victim,Warning,Green Day,3,3,1
2025-01-03,Worry Rock,Nimrod,Green Day,2,2,1
2025-01-03,Thank You for the Venom,Three Cheers for Sweet Revenge,My Chemical Romance,2,2,1
2025-01-03,Wish You Were Here,Goodbye Lullaby (Expanded Edition),Avril Lavigne,2,2,1
2025-01-03,American Eulogy: Mass Hysteria / Modern World,21st Century Breakdown,Green Day,1,1,1
2025-01-03,Every Time I Look For You,Take Off Your Pants and Jacket,blink-182,3,3,1
2025-01-03,Smile,Goodbye Lullaby (Expanded Edition),Avril Lavigne,1,1,1
2025-01-03,Don't Wanna Fall in Love,Shenanigans,Green Day,1,1,1
2025-01-03,Outsider,Shenanigans,Green Day,1,1,1
